volume_range;filled_volume
(79.1 79.2];0.7
(79.2 79.3];0.7
(79.3 79.4];0.7
(79.4 79.5];0.7
(79.5 79.6];0.7
(79.6 79.7];0.7
(79.7 79.8];0.7
(79.8 79.9];0.7
(79.9 80.0];0.7
(80.0 80.1];0.7
(80.1 80.2];0.7
(80.2 80.3];0.7
(80.3 80.4];0.7
(80.4 80.5];0.7
(80.5 80.6];0.7
(80.6 80.7];0.7
(80.7 80.8];0.7
(80.8 80.9];0.7
(80.9 81.0];0.7
(81.0 81.1];0.7
(81.1 81.2];0.7
(81.2 81.3];0.7
(81.3 81.4];0.7
(81.4 81.5];0.7
(81.5 81.6];0.7
(81.6 81.7];0.7
(81.7 81.8];0.7
(81.8 81.9];0.7
(81.9 82.0];0.7
(82.0 82.1];0.7
(82.1 82.2];0.7
(82.2 82.3];0.7
(82.3 82.4];0.7
(82.4 82.5];0.7
(82.5 82.6];0.7
(82.6 82.7];0.7
(82.7 82.8];0.7
(82.8 82.9];0.7
(82.9 83.0];0.7
(83.0 83.1];0.7
(83.1 83.2];0.7
(83.2 83.3];0.7
(83.3 83.4];0.7
(83.4 83.5];0.7
(83.5 83.6];0.7
(83.6 83.7];0.7
(83.7 83.8];0.7
(83.8 83.9];0.7
(83.9 84.0];0.7
(84.0 84.1];0.7
(84.1 84.2];0.7
(84.2 84.3];0.7
(84.3 84.4];0.7
(84.4 84.5];0.7
(84.5 84.6];0.7
(84.6 84.7];0.7
(84.7 84.8];0.7
(84.8 84.9];0.7
(84.9 85.0];0.7
(85.0 85.1];0.7
(85.1 85.2];0.7
(85.2 85.3];0.7
(85.3 85.4];0.7
(85.4 85.5];0.7
(85.5 85.6];0.7
(85.6 85.7];0.7
(85.7 85.8];0.7
(85.8 85.9];0.7
(85.9 86.0];0.7
(86.0 86.1];0.6
(86.1 86.2];0.6
(86.2 86.3];0.6
(86.3 86.4];0.6
(86.4 86.5];0.6
(86.5 86.6];0.6
(86.6 86.7];0.6
(86.7 86.8];0.6
(86.8 86.9];0.6
(86.9 87.0];0.6
(87.0 87.1];0.6
(87.1 87.2];0.6
(87.2 87.3];0.6
(87.3 87.4];0.6
(87.4 87.5];0.6
(87.5 87.6];0.6
(87.6 87.7];0.6
(87.7 87.8];0.6
(87.8 87.9];0.6
(87.9 88.0];0.6
(88.0 88.1];0.6
(88.1 88.2];0.6
(88.2 88.3];0.6
